date,main_1,main_2,main_3,main_4,main_5,main_6,noroc
2002-05-05,7,17,35,40,47,48,
2002-05-19,1,4,7,9,10,42,
2002-06-02,2,6,10,19,27,30,
2002-06-16,14,22,27,33,39,45,
2002-06-30,27,33,34,41,48,49,
2002-07-14,5,6,10,21,29,38,
2002-07-28,1,3,11,20,28,36,
2002-08-11,6,9,10,12,36,48,
2002-08-25,8,18,19,22,28,31,
2002-09-08,6,17,31,45,47,48,
2002-09-22,7,13,29,33,37,43,
2002-10-06,6,7,20,24,27,35,
2002-10-20,5,15,17,30,44,48,
2002-11-03,11,17,21,27,46,49,
2002-11-17,6,24,27,29,44,47,
2002-12-01,3,16,24,30,32,37,
2002-12-15,11,15,18,32,38,41,
2002-12-31,3,8,16,32,41,42,
2003-01-19,2,23,24,28,30,45,
2003-02-02,22,26,35,40,45,49,
2003-02-16,7,24,26,33,47,48,
2003-03-02,6,9,10,18,28,46,
2003-03-16,13,18,28,31,33,45,
2003-03-30,2,3,21,29,31,46,
2003-04-13,5,12,19,38,39,41,
2003-04-27,11,13,26,35,39,45,
2003-05-11,8,9,13,14,21,22,
2003-05-25,2,4,12,20,29,47,
2003-06-08,9,13,14,30,38,39,
2003-06-22,10,14,27,37,38,46,
2003-07-06,12,20,25,36,43,48,
2003-07-20,4,5,8,9,24,34,
2003-08-03,1,12,14,17,44,48,
2003-08-17,5,9,15,23,30,48,
2003-08-31,17,24,29,33,38,40,
2003-09-14,4,9,13,28,36,41,
2003-09-28,1,17,23,42,46,49,
2003-10-12,2,9,18,24,28,43,
2003-10-26,5,14,20,37,38,48,
2003-11-09,18,22,40,41,45,46,
2003-11-23,3,15,17,19,27,31,
2003-12-07,12,20,23,27,42,45,
2003-12-21,8,17,20,36,37,44,
2004-01-04,2,3,31,35,37,45,
2004-01-18,11,12,13,26,34,42,
2004-02-01,6,14,31,37,40,42,
2004-02-15,6,7,8,31,33,38,
2004-02-29,10,13,17,20,23,30,
2004-03-14,12,21,26,36,41,44,
2004-03-28,10,11,13,17,19,46,
2004-04-11,5,9,12,17,24,28,
2004-04-25,3,6,11,13,15,29,
2004-05-09,6,9,11,32,38,41,
2004-05-23,5,6,24,27,41,44,
2004-06-06,1,7,20,28,29,30,
2004-06-20,2,3,27,28,48,49,
2004-07-04,4,5,8,12,17,36,
2004-07-18,3,13,27,32,36,46,
2004-08-01,6,25,27,32,48,49,
2004-08-15,1,13,22,31,32,43,
2004-08-29,1,23,30,32,40,49,
2004-09-12,2,3,19,20,48,49,
2004-09-26,8,11,29,36,37,48,
2004-10-10,10,24,25,28,40,46,
2004-10-24,16,17,19,23,26,44,
2004-11-07,17,29,31,37,43,49,
2004-11-21,2,4,30,32,34,49,
2004-12-05,11,12,15,22,23,26,
2004-12-19,15,16,26,28,36,44,
2005-01-02,1,4,9,30,34,35,
2005-01-16,13,17,19,30,42,48,
2005-01-30,3,5,16,21,34,39,
2005-02-13,14,17,21,36,41,46,
2005-02-27,3,4,12,33,41,47,
2005-03-13,19,20,22,30,47,48,
2005-03-27,7,14,16,18,35,38,
2005-04-10,8,9,14,34,37,44,
2005-04-24,11,29,32,33,35,47,
2005-05-08,7,15,28,41,45,47,
2005-05-22,10,17,29,39,43,48,
