date,main_1,main_2,main_3,main_4,main_5,joker,noroc_plus
2017-09-21,14,18,19,21,27,4,
2017-09-28,1,4,8,17,44,19,
2017-10-05,2,10,12,29,31,6,
2017-10-12,3,32,37,42,43,8,
2017-10-19,3,6,16,19,25,12,
2017-10-26,1,21,36,37,43,9,
2017-11-02,6,10,20,23,38,9,
2017-11-09,1,8,15,20,29,7,
2017-11-16,9,10,20,22,45,15,
2017-11-23,17,18,29,41,43,1,
2017-11-30,7,9,21,22,45,11,
2017-12-07,9,10,12,29,31,11,
2017-12-14,5,8,21,33,42,17,
2017-12-21,9,29,30,35,36,14,
2017-12-31,8,14,17,29,44,3,
2018-01-04,7,12,30,33,42,8,
2018-01-11,12,15,20,22,42,12,
2018-01-18,13,24,34,35,40,20,
2018-01-25,1,8,12,33,38,1,
2018-02-01,2,11,26,28,34,14,
2018-02-08,21,37,41,42,44,20,
2018-02-15,2,10,32,44,45,6,
2018-02-22,4,19,26,29,35,13,
2018-03-01,3,32,39,40,44,20,
2018-03-08,4,13,24,35,45,2,
2018-03-15,3,5,6,21,25,17,
2018-03-22,5,20,23,29,34,7,
2018-03-29,1,3,20,29,34,6,
2018-04-08,21,26,37,40,42,6,
2018-04-15,5,13,42,43,44,6,
2018-04-22,3,6,7,12,31,7,
2018-04-29,11,12,19,30,32,11,
2018-05-06,4,6,11,27,41,5,
2018-05-13,1,4,8,18,35,2,
2018-05-20,1,3,24,28,35,9,
2018-05-27,3,25,28,30,42,4,
2018-06-03,18,22,28,29,34,1,
2018-06-10,2,7,16,39,40,16,
2018-06-17,3,8,31,33,45,5,
2018-06-24,7,9,17,30,35,5,
2018-07-01,7,22,31,40,45,17,
2018-07-08,6,18,23,26,31,8,
2018-07-15,2,3,18,23,41,18,
2018-07-22,2,8,28,40,41,8,
2018-07-29,5,13,14,30,36,15,
2018-08-05,1,3,12,20,25,10,
2018-08-12,4,25,29,38,45,11,
2018-08-19,7,9,30,31,45,6,
2018-08-26,12,17,28,42,45,17,
2018-09-02,8,17,19,31,33,14,
2018-09-09,1,13,14,25,35,10,
2018-09-16,2,15,21,34,37,4,
2018-09-23,22,24,27,39,40,17,
2018-09-30,2,32,38,40,41,3,
2018-10-07,3,4,21,34,42,9,
2018-10-14,6,17,18,29,32,8,
